"ERP System","Payment_Term","Text",
"E1P","A001","Immediately due",
"E1P","A020","20% discount due in 30 days",
"E1P","A030","Net Due 30 Days (fixed days DPR)",
"E1P","A033","Net Due 33 Days",
"E1P","A045","Net Due 45 Days",
"E1P","A048","Net Due 48 Days",
"E1P","A060","Net Due 60 Days (fixed days DPR)",
"E1P","A083","Net due 83 days",
"E1P","A085","Net Due 85 Days",
"E1P","A090","Net Due 90 Days",
"E1P","A120","Net Due 120 Days (fixed days DPR)",
"E1P","A999","Pay per Contract",
"E1P","B001","1% 45 Days Net 46 + 60 days",
"E1P","B002","1% 90 Days Net 91",
"E1P","B003","1% 15th Net 25th +30 PROX",
"E1P","B004","1% 120 Days Net 121Days",
"E1P","B005","3% 20 Days Net 30 1% 15th Net 25th +30 PROX Test",
"E1P","B006","7% 10th Net 25th PROX",
"E1P","B007","1% 15 Days Net 30",
"E1P","B008","1% 15 Days Net 45",
"E1P","B009","3% 30 Days Net 120",
"E1P","B010","3% 30 Days Net 90",
"E1P","B011","1% 10 Days Net 60",
"E1P","B012","1% 10 Days Net 30",
"E1P","B013","2% 10 Days Net 30",
"E1P","B014","2% 15 Days Net 30",
"E1P","B015","3% 14 Days Net 30",
"E1P","B016","2% 30 Days Net 60",
"E1P","B017","3% 15 Days Net 60",
"E1P","B018","4% 10 Days Net 60",
"E1P","B019","4% 15 Days Net 120",
"E1P","B020","3% 10 Days Net 45",
"E1P","B021","Net 85 Days",
"E1P","B022","1% 20 Days Net 60",
"E1P","B023","20% 30 Days Net 31",
"E1P","B025","2% 15th Net 25th + 30 PROX 2% 15th Net 25th + 30 PROX",
"E1P","B026","3% 15 Days Net 30",
"E1P","B075","3 % 30 Days Net 75",
"E1P","B090","1% 30 Days Net 90",
"E1P","B826","1% 20th Net 21st PROX For incoming invoices until End  of the month Before 20 in 2 months 1 % cash discount Before 21 in 2 months Due net",
"E1P","B827","1% 20th Net 21st + 1 Mo For incoming invoices until End  of the month Before 20 in 3 months 1 % cash discount Before 21 in 3 months Due net",
