"ERP System","Payment_Term","Text",					
"E1P","A001","Dû immédiatement",								
"E1P","A020","20% d'escompte dû dans 30 jours",								
"E1P","A030","Net dû 30 jours (jours fixes DPR)",								
"E1P","A033","Net dû 33 jours",								
"E1P","A045","Net dû 45 jours",								
"E1P","A048","Net dû 48 jours",								
"E1P","A060","Net dû 60 jours (jours fixes DPR)",								
"E1P","A083","Net dû 83 jours",								
"E1P","A085","Net dû 85 jours",								
"E1P","A090","Net dû 90 jours",								
"E1P","A120","Net dû 120 jours (jours fixes DPR)",								
"E1P","A999","Paiement selon contrat",								
"E1P","B001","1 % 45 jours net 46 + 60 jours",								
"E1P","B002","1 % 90 jours net 91",								
"E1P","B003","1 % 15e net 25e +30 PROX",								
"E1P","B004","1 % 120 jours net 121 jours",								
"E1P","B005","3 % 20 jours net 30 1 % 15e net 25e +30 PROX Test",								
"E1P","B006","7% 10e net 25e PROX",								
"E1P","B007","1 % 15 jours net 30",								
"E1P","B008","1 % 15 jours net 45",								
"E1P","B009","3 % 30 jours net 120",								
"E1P","B010","3 % 30 jours net 90",								
"E1P","B011","1 % 10 jours net 60",								
"E1P","B012","1 % 10 jours net 30",								
"E1P","B013","2 % 10 jours net 30",								
"E1P","B014","2 % 15 jours net 30",								
"E1P","B015","3 % 14 jours net 30",								
"E1P","B016","2 % 30 jours net 60",								
"E1P","B017","3 % 15 jours net 60",								
"E1P","B018","4 % 10 jours net 60",								
"E1P","B019","4 % 15 jours net 120",								
"E1P","B020","3 % 10 jours net 45",								
"E1P","B021","Net 85 jours",								
"E1P","B022","1 % 20 jours net 60",								
"E1P","B023","20% 30 jours net 31",								
"E1P","B025","2 % 15e net 25e + 30 PROX 2 % 15e net 25e + 30 PROX",								
"E1P","B026","3 % 15 jours net 30",								
"E1P","B075","3 % 30 jours net 75",								
"E1P","B090","1 % 30 jours net 90",								
"E1P","B826","1 % 20e net 21e PROX Pour les factures entrantes jusqu'à la fin du mois Avant 20 dans 2 mois 1 % d'escompte Avant 21 sur 2 mois Net dû"								
